hand,flop,turn,river
Pair of Aces,0.912643,0.829714,0.733634
Pair of Kings,0.865969,0.782472,0.688531
Pair of Queens,0.822604,0.737845,0.647868
Pair of Jacks,0.780831,0.695209,0.610063
Pair of 10s,0.740427,0.656953,0.576851
Pair of 9s,0.700168,0.616366,0.536974
Pair of 8s,0.6593,0.575432,0.499886
Pair of 7s,0.62226,0.53755,0.462833
Pair of 6s,0.587165,0.503159,0.431715
Ace-King suited,0.564885,0.533593,0.508059
Ace-King offsuit,0.560212,0.518669,0.483039
Ace-Queen suited,0.550935,0.520248,0.494427
Pair of 5s,0.5487,0.468079,0.400424
Ace-Queen offsuit,0.544709,0.502003,0.467729
Ace-Jack suited,0.535132,0.503749,0.481528
Ace-Jack offsuit,0.53069,0.488587,0.456072
Ace-10 suited,0.52109,0.490922,0.470692
Pair of 4s,0.518265,0.436135,0.368493
Ace-10 offsuit,0.516051,0.474831,0.442398
Ace-9 suited,0.507647,0.471035,0.445353
Ace-9 offsuit,0.500277,0.453095,0.415562
Ace-8 suited,0.490662,0.45737,0.436881
Ace-8 offsuit,0.485364,0.438539,0.404324
Pair of 3s,0.48381,0.403132,0.337255
King-Queen suited,0.479852,0.477672,0.47048
Ace-7 suited,0.478217,0.442689,0.423959
King-Queen offsuit,0.473685,0.458994,0.443566
Ace-7 offsuit,0.471706,0.424861,0.39284
King-Jack suited,0.467414,0.463844,0.461102
Ace-6 suited,0.464967,0.429879,0.411432
King-Jack offsuit,0.460769,0.44615,0.430515
Ace-6 offsuit,0.458909,0.411519,0.379191
King-10 suited,0.453143,0.451232,0.447671
Pair of 2s,0.4514,0.370216,0.305804
Ace-5 suited,0.451254,0.422294,0.41301
Ace-5 offsuit,0.447434,0.406091,0.382651
King-10 offsuit,0.446028,0.431715,0.418529
King-9 suited,0.440439,0.431916,0.424241
Ace-4 suited,0.438469,0.411863,0.405585
Ace-4 offsuit,0.434532,0.394583,0.372881
King-9 offsuit,0.431534,0.411374,0.392422
Ace-3 suited,0.429053,0.404624,0.396163
King-8 suited,0.422981,0.409837,0.402002
Ace-3 offsuit,0.420417,0.383919,0.36158
King-8 offsuit,0.416407,0.391374,0.369214
Ace-2 suited,0.415598,0.396636,0.388288
Queen-Jack suited,0.41291,0.430005,0.441384
Ace-2 offsuit,0.409492,0.377289,0.352999
King-7 suited,0.408782,0.396308,0.39302
Queen-Jack offsuit,0.40446,0.41185,0.413094
King-7 offsuit,0.403853,0.378855,0.359815
Queen-10 suited,0.400749,0.419027,0.430873
King-6 suited,0.398232,0.384728,0.383274
King-6 offsuit,0.392533,0.36642,0.349797
Queen-10 offsuit,0.391994,0.399286,0.401361
King-5 suited,0.384966,0.373542,0.374594
Queen-9 suited,0.384327,0.39885,0.405702
King-5 offsuit,0.378847,0.353734,0.3392
Queen-9 offsuit,0.378803,0.379687,0.375036
King-4 suited,0.372906,0.363528,0.366381
Queen-8 suited,0.371162,0.379052,0.384623
King-4 offsuit,0.367006,0.34335,0.329634
Queen-8 offsuit,0.363121,0.359285,0.352473
King-3 suited,0.361878,0.354559,0.355718
Jack-10 suited,0.357567,0.393003,0.41821
Queen-7 suited,0.356234,0.359864,0.363779
King-3 offsuit,0.355308,0.334824,0.321025
Jack-10 offsuit,0.349795,0.373617,0.389207
Queen-7 offsuit,0.348522,0.339853,0.330353
King-2 suited,0.34832,0.346431,0.347383
Queen-6 suited,0.344715,0.349301,0.356396
King-2 offsuit,0.343146,0.326753,0.31194
Jack-9 suited,0.343036,0.373169,0.39543
Jack-9 offsuit,0.336723,0.354999,0.364426
Queen-6 offsuit,0.336267,0.327625,0.32226
Queen-5 suited,0.333195,0.338639,0.349556
Jack-8 suited,0.328779,0.352975,0.372042
Queen-5 offsuit,0.328664,0.318291,0.314201
Jack-8 offsuit,0.323555,0.335883,0.341031
Queen-4 suited,0.323295,0.329379,0.341457
Queen-4 offsuit,0.316525,0.308401,0.303688
Jack-7 suited,0.315664,0.336281,0.354356
10-9 suited,0.313333,0.354613,0.386062
Queen-3 suited,0.312036,0.321796,0.334306
Jack-7 offsuit,0.309032,0.316017,0.318632
10-9 offsuit,0.305735,0.336585,0.356492
Queen-3 offsuit,0.304311,0.298228,0.293764
Jack-6 suited,0.302067,0.316988,0.331243
Queen-2 suited,0.301046,0.312503,0.322358
10-8 suited,0.300484,0.336772,0.365473
Jack-6 offsuit,0.295694,0.297878,0.299114
Queen-2 offsuit,0.294164,0.292559,0.286899
Jack-5 suited,0.292817,0.307137,0.326351
10-8 offsuit,0.292267,0.31756,0.334665
10-7 suited,0.287982,0.320783,0.346705
Jack-5 offsuit,0.286326,0.288358,0.291734
Jack-4 suited,0.284781,0.300798,0.319049
10-7 offsuit,0.280179,0.299314,0.312759
9-8 suited,0.279637,0.32519,0.360442
Jack-4 offsuit,0.275611,0.278999,0.282404
10-6 suited,0.273234,0.301465,0.326555
Jack-3 suited,0.272685,0.291439,0.310264
9-8 offsuit,0.270195,0.304193,0.327436
10-6 offsuit,0.267064,0.280863,0.291375
Jack-3 offsuit,0.265583,0.270363,0.273659
Jack-2 suited,0.264258,0.287531,0.304661
9-7 suited,0.264131,0.307805,0.340741
10-5 suited,0.261663,0.28391,0.306564
9-7 offsuit,0.258248,0.28704,0.307397
Jack-2 offsuit,0.256506,0.264398,0.265791
10-5 offsuit,0.255059,0.264589,0.27196
10-4 suited,0.253854,0.277524,0.301548
9-6 suited,0.25269,0.288778,0.320588
8-7 suited,0.249644,0.297652,0.337899
9-6 offsuit,0.246023,0.268973,0.285703
10-4 offsuit,0.244734,0.254752,0.264196
10-3 suited,0.244505,0.269293,0.293868
8-7 offsuit,0.242173,0.277487,0.303443
9-5 suited,0.241733,0.273305,0.302602
8-6 suited,0.238978,0.281182,0.319988
10-3 offsuit,0.236658,0.247729,0.256063
10-2 suited,0.234915,0.263813,0.287034
9-5 offsuit,0.233875,0.252165,0.265471
9-4 suited,0.231627,0.258557,0.284669
8-6 offsuit,0.23109,0.261549,0.28443
10-2 offsuit,0.226943,0.240462,0.246915
8-5 suited,0.226798,0.265662,0.301749
7-6 suited,0.226737,0.275609,0.318873
9-4 offsuit,0.222129,0.235401,0.245715
9-3 suited,0.221615,0.250524,0.277187
7-6 offsuit,0.219449,0.255242,0.284461
8-5 offsuit,0.219261,0.243091,0.263214
7-5 suited,0.216722,0.261789,0.302223
9-3 offsuit,0.21398,0.228298,0.238772
9-2 suited,0.21353,0.244994,0.269854
8-4 suited,0.212573,0.246921,0.278967
6-5 suited,0.209817,0.259706,0.303953
7-5 offsuit,0.208768,0.238925,0.264361
8-4 offsuit,0.208016,0.22776,0.243917
7-4 suited,0.207875,0.246317,0.283596
9-2 offsuit,0.206159,0.222588,0.230594
8-3 suited,0.20595,0.236212,0.262741
6-5 offsuit,0.202708,0.236958,0.266143
6-4 suited,0.199763,0.243573,0.285746
7-4 offsuit,0.198254,0.223881,0.245234
