hand,flop,turn,river
AA,0.687936,0.484476,0.345581
KK,0.576889,0.402177,0.291699
QQ,0.481627,0.333723,0.249518
AKs,0.264853,0.252685,0.224886
JJ,0.403454,0.28155,0.215931
AQs,0.242594,0.23194,0.211572
KQs,0.213683,0.213818,0.202675
AJs,0.219417,0.212553,0.200593
KJs,0.194876,0.196653,0.19256
AKo,0.257766,0.231956,0.192139
TT,0.33597,0.237797,0.190741
ATs,0.200775,0.192315,0.188436
QJs,0.174671,0.183556,0.186743
KTs,0.178778,0.183585,0.18513
QTs,0.162117,0.17024,0.180657
JTs,0.147731,0.16296,0.178481
AQo,0.233493,0.208486,0.174692
99,0.282791,0.207519,0.172905
KQo,0.208062,0.194132,0.169738
A9s,0.179862,0.172142,0.168925
K9s,0.159872,0.161273,0.16408
A8s,0.163649,0.162016,0.162371
T9s,0.124391,0.142417,0.161103
AJo,0.21212,0.189237,0.160547
88,0.241355,0.184042,0.15848
Q9s,0.144877,0.151909,0.158193
J9s,0.134078,0.146108,0.15772
A7s,0.149692,0.151474,0.157378
A5s,0.128874,0.141155,0.156973
KJo,0.189374,0.175498,0.156102
A4s,0.119464,0.136632,0.153662
A3s,0.112018,0.13472,0.153253
QJo,0.169781,0.163092,0.152887
A6s,0.137829,0.142551,0.152656
ATo,0.191375,0.172879,0.151084
77,0.207616,0.167047,0.14941
T8s,0.109877,0.126558,0.148406
K8s,0.142481,0.143225,0.148342
A2s,0.102288,0.130775,0.14827
KTo,0.170138,0.15986,0.146879
JTo,0.141552,0.143978,0.146326
98s,0.103373,0.12395,0.145735
QTo,0.154564,0.150613,0.14482
Q8s,0.130469,0.136713,0.144229
K7s,0.129413,0.133524,0.143624
J8s,0.119756,0.129338,0.143434
K6s,0.119373,0.127757,0.140699
66,0.179682,0.151606,0.140154
87s,0.087721,0.112521,0.137872
K5s,0.110915,0.122467,0.137739
97s,0.092208,0.111936,0.134044
T7s,0.099714,0.114148,0.133342
K4s,0.103028,0.116908,0.133223
55,0.160303,0.141164,0.133
76s,0.07495,0.105326,0.132458
Q7s,0.116038,0.122172,0.132096
K3s,0.095133,0.114704,0.13196
J7s,0.106251,0.116175,0.131364
K2s,0.089759,0.113602,0.130147
86s,0.079271,0.103407,0.12863
Q6s,0.106899,0.114196,0.128382
44,0.14392,0.134894,0.128162
65s,0.064656,0.098053,0.127437
A9o,0.171486,0.148797,0.126985
Q5s,0.099012,0.110526,0.126869
T9o,0.116821,0.121199,0.125585
33,0.131378,0.129777,0.125379
Q4s,0.090257,0.106355,0.125048
22,0.124895,0.128982,0.124665
54s,0.05757,0.094523,0.124532
75s,0.068562,0.09614,0.123991
96s,0.083325,0.102189,0.123728
K9o,0.15154,0.137799,0.122932
T6s,0.087769,0.102839,0.122895
J9o,0.126246,0.124334,0.122875
Q3s,0.084106,0.102329,0.12207
Q9o,0.137293,0.130308,0.120963
Q2s,0.080355,0.101744,0.120818
J6s,0.094264,0.103342,0.12018
A8o,0.155642,0.137455,0.119841
64s,0.058725,0.090389,0.11861
J5s,0.08653,0.099759,0.118481
85s,0.071249,0.093573,0.11689
53s,0.053912,0.08692,0.116008
J4s,0.081176,0.097644,0.115354
A5o,0.122043,0.118328,0.114884
A7o,0.142495,0.127744,0.114276
J3s,0.076867,0.093956,0.113024
74s,0.06078,0.08773,0.112763
95s,0.072442,0.090745,0.111589
T5s,0.078887,0.091107,0.111282
T8o,0.102509,0.106257,0.111154
43s,0.049892,0.083699,0.111148
A4o,0.110956,0.112456,0.111026
J2s,0.071175,0.092159,0.110713
T4s,0.074028,0.089774,0.110625
63s,0.053422,0.083157,0.109003
A3o,0.101744,0.107696,0.108294
98o,0.095557,0.102608,0.108293
52s,0.048781,0.080434,0.10821
A6o,0.128256,0.117751,0.108157
T3s,0.068694,0.086803,0.108129
K8o,0.135696,0.121233,0.107872
84s,0.062691,0.084691,0.107041
J8o,0.111027,0.108285,0.10663
Q8o,0.122362,0.112889,0.10512
42s,0.046045,0.078148,0.104716
T2s,0.063926,0.084066,0.104183
73s,0.055821,0.079311,0.103202
A2o,0.093422,0.10456,0.102796
K7o,0.12205,0.111674,0.102793
94s,0.066308,0.082505,0.102268
87o,0.080083,0.091766,0.10118
92s,0.058487,0.079353,0.099501
93s,0.062638,0.080814,0.099459
97o,0.085982,0.093079,0.09903
K6o,0.111991,0.104185,0.097971
32s,0.043858,0.075591,0.09786
62s,0.048801,0.075385,0.097427
76o,0.068071,0.083592,0.096405
T7o,0.092002,0.093231,0.096045
82s,0.05445,0.074547,0.09542
83s,0.056741,0.076377,0.095152
K5o,0.102365,0.097398,0.093447
72s,0.049478,0.073723,0.093128
J7o,0.099253,0.095082,0.092302
Q7o,0.107667,0.098392,0.092044
86o,0.071048,0.082531,0.091814
K4o,0.095126,0.094499,0.09171
65o,0.058461,0.07746,0.091647
54o,0.051868,0.074098,0.089389
K3o,0.087682,0.090666,0.089294
75o,0.060648,0.075693,0.087079
Q6o,0.098044,0.091635,0.087013
K2o,0.080555,0.087795,0.086507
96o,0.076049,0.08052,0.085374
Q5o,0.090267,0.086832,0.084509
T6o,0.081126,0.080798,0.08381
64o,0.052528,0.070265,0.082571
Q4o,0.083625,0.082284,0.081545
J6o,0.087634,0.082409,0.080514
85o,0.06375,0.072477,0.080396
53o,0.046883,0.067315,0.080344
Q3o,0.07649,0.079008,0.079051
Q2o,0.071596,0.077848,0.076645
J5o,0.079822,0.077083,0.076089
74o,0.054499,0.067029,0.075836
43o,0.043435,0.064433,0.075002
